sample_id,transcript_id,log2cpm,gene_name,transcript_type,condition,donor_inferred,contrast
WZ4_CADASIL_Control,ENST00000443816.5,-5.64085103587862,FN1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000432072.6,5.48907589763178,FN1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000354785.11,-5.64085103587862,FN1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000498719.1,7.17353115307295,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000456923.5,11.3008041392702,FN1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000494446.1,11.4943872937327,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000469569.1,1.85899485120459,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000473614.1,2.99214416126434,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000480024.1,5.89782291720405,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000461974.1,10.6452915590887,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000485567.1,-0.596456916520165,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000460217.1,2.61181439657163,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000474036.1,8.58894414883784,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000490833.5,-1.94041131773753,FN1,protein_coding_CDS_not_defined,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000480737.1,-5.64085103587862,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000471193.1,-2.18141941724132,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000426059.1,0.192038978286123,FN1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000496542.1,0.381516777149836,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000261937.11,0.834882395087779,FLT4,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000393347.7,-1.24853361309986,FLT4,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000510000.1,-5.64085103587862,FLT4,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000514810.1,-5.64085103587862,FLT4,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000282397.9,-1.94041131773753,FLT1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000541932.5,-2.18141941724132,FLT1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000615840.5,-5.64085103587862,FLT1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000539099.2,-5.64085103587862,FLT1,nonsense_mediated_decay,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000421182.5,0.300487745207945,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000323926.10,11.7128811695072,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000336916.8,7.25700910854106,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000492816.6,5.2118597579039,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000446046.5,10.3511889566879,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000443816.5,-5.92833094528794,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000432072.6,6.90079715008061,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000354785.11,7.57859643005694,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000498719.1,3.62433815222634,FN1,retained_intron,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
WZ8_CADASIL_Control,ENST00000456923.5,11.3073934971982,FN1,protein_coding,WT,SINGLETON_WT,vsmc_pooled_CAD_vs_nonCAD
