ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000133103.17,COG6,6.2351,5.5488,5.4010,5.9154,5.9992,6.3519,6.1730
ENSG00000133104.14,SPART,5.9017,6.4892,5.9633,5.9770,6.4296,5.8489,6.0625
ENSG00000133106.15,EPSTI1,3.1222,3.5247,1.6949,4.1687,4.3990,3.0760,1.7729
ENSG00000133107.15,TRPC4,5.9604,5.3642,5.8968,6.3511,5.0246,4.9085,5.5450
ENSG00000133110.15,POSTN,9.4474,7.7026,5.9782,6.1338,6.5357,7.7539,6.4386
ENSG00000133111.4,RFXAP,2.3763,3.2413,2.4952,2.6490,3.3898,2.2745,2.4940
ENSG00000133112.17,TPT1,10.7515,10.7193,10.2495,10.2556,10.3434,10.1740,10.1871
ENSG00000133114.18,GPALPP1,4.6728,4.8143,4.4156,4.6713,4.9455,4.5335,4.5260
ENSG00000133119.13,RFC3,3.3074,4.6612,3.8827,4.3287,4.0952,3.0938,3.7189
ENSG00000133121.21,STARD13,4.4333,3.7745,4.8836,4.9195,3.7463,5.1811,4.8440
ENSG00000133124.12,IRS4,0.4380,0.7637,0.5736,0.5749,2.0373,0.7032,1.2691
ENSG00000133131.15,MORC4,5.1407,4.7519,4.3934,5.1156,4.9026,5.5976,4.8277
ENSG00000133134.12,BEX2,3.9701,3.6806,2.9008,2.1707,4.0581,2.5909,2.8966
ENSG00000133135.14,RNF128,4.6801,0.0000,4.9286,1.2591,0.9015,6.5475,2.8966
ENSG00000133138.20,TBC1D8B,4.4799,3.3729,3.3497,3.7831,3.6343,5.0730,3.4794
ENSG00000133142.19,TCEAL4,6.5006,6.4002,6.1665,6.1530,6.6934,6.0161,6.0686
ENSG00000133169.6,BEX1,3.0226,2.8963,3.3088,3.8487,5.0925,3.2017,3.7879
ENSG00000133193.13,FAM104A,4.9878,4.8761,5.0733,5.0150,5.2577,4.9595,5.0475
ENSG00000133195.12,SLC39A11,4.1407,3.8708,3.9826,3.5432,4.0782,3.9295,3.8457
ENSG00000133216.17,EPHB2,5.8027,6.6547,7.6513,6.4723,6.7660,6.7815,6.8969
ENSG00000133226.19,SRRM1,6.0389,6.8460,6.2954,6.5299,6.7045,6.1211,6.4095
ENSG00000133243.10,BTBD2,6.0009,6.7191,5.8539,5.7913,6.7050,5.9154,6.4312
ENSG00000133247.14,KMT5C,4.1354,3.7917,3.8867,3.6510,4.6149,3.3815,3.6787
ENSG00000133250.14,ZNF414,3.2933,3.4723,3.4172,3.1854,3.8333,3.4750,3.9916
ENSG00000133256.13,PDE6B,2.6674,2.0851,1.7998,2.2182,2.0137,1.5797,1.8065
ENSG00000133265.11,HSPBP1,4.8299,4.6612,5.1044,4.8533,5.0582,4.5805,5.0545
ENSG00000133275.16,CSNK1G2,6.5164,6.7067,6.5977,6.6127,7.5604,6.5083,6.9373
ENSG00000133302.13,SLF1,3.1114,4.5392,3.0641,3.2208,4.0407,2.8362,2.7226
ENSG00000133313.15,CNDP2,6.8405,5.9817,7.4121,7.2424,5.9099,6.6894,6.7486
ENSG00000133315.12,MACROD1,1.1748,2.4742,1.4803,1.0388,2.1929,0.9049,1.2931
ENSG00000133316.16,WDR74,4.1221,4.0059,5.0452,4.6302,4.3023,4.0469,4.5311
ENSG00000133318.14,RTN3,7.2888,6.2580,7.4125,6.9263,6.6155,6.5060,6.5226
ENSG00000133392.18,MYH11,4.8591,0.9592,1.3013,3.3701,3.7712,2.0977,2.8080
ENSG00000133393.13,CEP20,4.5883,4.2834,4.7394,4.8420,4.7155,4.4507,4.5974
ENSG00000133398.4,MED10,4.7370,3.9985,4.8935,4.4678,4.6441,4.9334,5.1477
ENSG00000133401.16,PDZD2,1.0899,3.7081,3.4062,3.3490,4.0021,2.6563,3.8497
ENSG00000133422.14,MORC2,6.1538,6.2378,5.9548,6.2411,6.3391,5.8454,6.0058
