ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000107262.26,BAG1,1081,723,868,938,1120,902,894
ENSG00000107263.19,RAPGEF1,3834,2732,1836,3759,4934,3541,3845
ENSG00000107281.10,NPDC1,795,1023,1969,638,1310,1245,681
ENSG00000107282.9,APBA1,158,189,145,204,237,183,178
ENSG00000107290.14,SETX,2882,2901,2036,2879,3392,3193,2449
ENSG00000107317.13,PTGDS,124,42,81,14,88,10,8
ENSG00000107331.18,ABCA2,1451,2060,1277,996,1644,1358,1092
ENSG00000107338.10,SHB,1850,361,1259,1088,502,1563,988
ENSG00000107341.5,UBE2R2,3337,2854,2387,2642,4688,3009,2785
ENSG00000107362.14,ABHD17B,577,408,357,419,712,497,482
ENSG00000107371.14,EXOSC3,339,282,333,328,457,264,252
ENSG00000107372.13,ZFAND5,6433,4476,5044,4605,7240,5664,5931
ENSG00000107404.21,DVL1,1861,1139,1468,1437,1746,1383,1184
ENSG00000107438.9,PDLIM1,7183,3714,6196,5927,1952,5130,5980
ENSG00000107443.16,CCNJ,935,752,813,997,1188,868,892
ENSG00000107485.18,GATA3,1012,244,573,460,72,754,1059
ENSG00000107518.18,ATRNL1,1496,686,543,522,1766,1193,708
ENSG00000107521.21,HPS1,686,388,662,398,474,434,545
ENSG00000107537.14,PHYH,281,369,241,204,380,249,240
ENSG00000107551.21,RASSF4,3672,915,2262,3552,1769,1211,1776
ENSG00000107554.17,DNMBP,1202,838,1072,875,772,2833,2016
ENSG00000107560.12,RAB11FIP2,587,555,414,521,1014,638,546
ENSG00000107562.18,CXCL12,1379,2102,207,371,3739,989,638
ENSG00000107566.14,ERLIN1,1547,1748,1705,1419,1296,1043,847
ENSG00000107581.14,EIF3A,11252,9085,9025,11443,10992,11234,9029
ENSG00000107611.16,CUBN,453,84,99,334,296,477,530
ENSG00000107614.22,TRDMT1,200,174,170,201,231,163,183
ENSG00000107625.14,DDX50,1385,1346,1095,1334,1472,1121,823
ENSG00000107643.17,MAPK8,998,1024,719,1008,1501,856,834
ENSG00000107651.15,SEC23IP,2402,1920,1772,2229,2405,2682,1910
ENSG00000107669.19,ATE1,968,728,630,816,1232,817,762
ENSG00000107672.15,NSMCE4A,334,437,388,418,611,184,275
ENSG00000107679.15,PLEKHA1,3266,1741,1252,1759,2339,2299,1586
ENSG00000107719.10,PALD1,89,317,99,139,331,121,117
ENSG00000107731.12,UNC5B,294,780,338,236,4503,755,1173
ENSG00000107736.22,CDH23,3,60,5,15,123,15,21
ENSG00000107742.14,SPOCK2,34,26,21,11,54,11,14
ENSG00000107745.20,MICU1,1887,1263,1002,1333,1728,1078,1261
ENSG00000107758.16,PPP3CB,1836,1827,1318,1769,2439,1361,1426
ENSG00000107771.17,CCSER2,2462,1203,1213,1801,2174,2441,2080
ENSG00000107779.15,BMPR1A,1806,1751,1499,1427,2370,1350,1020
ENSG00000107789.16,MINPP1,1441,1072,1369,889,1384,1005,971
ENSG00000107796.13,ACTA2,36423,3706,8886,33272,25329,13663,27143
ENSG00000107798.18,LIPA,3339,2971,3031,2885,3414,2864,2491
ENSG00000107815.10,TWNK,382,315,385,468,435,404,376
ENSG00000107816.17,LZTS2,3463,2313,2661,2848,3461,2535,2907
ENSG00000107819.15,SFXN3,4218,1628,3034,1905,2637,3028,3452
ENSG00000107821.15,KAZALD1,221,194,52,134,246,160,130
ENSG00000107829.15,FBXW4,1035,596,586,527,736,568,464
ENSG00000107833.11,NPM3,538,382,650,496,407,442,427
ENSG00000107854.7,TNKS2,4200,3574,2411,3408,4381,3537,3316
ENSG00000107859.11,PITX3,21,4,77,29,12,27,439
ENSG00000107862.7,GBF1,5199,3934,4930,4819,4038,5954,6959
ENSG00000107863.20,ARHGAP21,3964,4420,2737,3611,4441,4106,3523
ENSG00000107864.15,CPEB3,58,51,19,28,84,42,42
ENSG00000107872.14,FBXL15,380,185,356,227,367,267,259
ENSG00000107874.11,CUEDC2,1419,1344,1159,1053,1778,1043,1032
ENSG00000107882.12,SUFU,1415,1667,1013,1200,2252,1204,1530
ENSG00000107890.17,ANKRD26,826,647,421,565,873,563,404
ENSG00000107897.20,ACBD5,1194,675,890,1105,1116,1091,879
ENSG00000107902.14,LHPP,223,236,62,88,221,139,94
ENSG00000107929.16,LARP4B,2076,1231,1917,1946,1748,1988,1915
ENSG00000107937.19,GTPBP4,2698,1514,2923,2916,2082,2647,2179
ENSG00000107938.18,EDRF1,601,642,517,566,795,482,442
ENSG00000107949.17,BCCIP,1230,967,1048,1279,1385,1009,957
ENSG00000107951.15,MTPAP,438,386,391,425,573,443,364
ENSG00000107954.11,NEURL1,17,48,9,17,100,16,36
ENSG00000107957.17,SH3PXD2A,20848,6704,2320,7376,14456,19308,17240
ENSG00000107959.17,PITRM1,2886,2290,3101,3473,3012,2812,2827
ENSG00000107960.12,STN1,167,169,73,98,168,170,123
ENSG00000107968.10,MAP3K8,120,66,99,113,98,38,57
ENSG00000107984.10,DKK1,126,118,80,363,218,190,151
ENSG00000108001.16,EBF3,38,89,37,73,10,25,22
ENSG00000108010.12,GLRX3,2173,1219,1886,2313,1747,1822,1944
ENSG00000108018.17,SORCS1,9,145,27,17,155,27,46
ENSG00000108021.22,TASOR2,2519,2145,1575,2479,3322,2838,2235
ENSG00000108039.18,XPNPEP1,2827,2549,2245,2739,2696,2424,2407
ENSG00000108055.11,SMC3,1563,2726,1293,1810,2916,1113,1388
ENSG00000108061.13,SHOC2,3056,1003,1349,2360,1810,2441,1964
ENSG00000108064.11,TFAM,751,770,617,708,799,575,572
ENSG00000108091.11,CCDC6,2085,1571,1512,2033,2459,2251,2037
ENSG00000108094.17,CUL2,1762,1180,1353,1474,1747,1684,1568
ENSG00000108100.18,CCNY,2830,2087,1778,1987,3259,2653,2172
ENSG00000108106.14,UBE2S,1694,1167,1868,1918,2813,1987,2232
ENSG00000108175.19,ZMIZ1,4315,3938,2036,4083,7570,3810,3915
ENSG00000108176.15,DNAJC12,115,60,24,38,91,36,40
ENSG00000108179.14,PPIF,911,835,1143,1143,725,647,740
ENSG00000108187.16,PBLD,403,152,217,218,218,261,245
ENSG00000108219.16,TSPAN14,11305,2666,13481,8480,3904,13099,8183
ENSG00000108231.14,LGI1,59,8,152,60,63,16,332
ENSG00000108239.9,TBC1D12,548,395,305,327,734,417,290
ENSG00000108256.9,NUFIP2,3435,2589,2700,3362,3510,4236,3431
ENSG00000108262.16,GIT1,2093,2126,2029,1974,2329,1678,1719
ENSG00000108306.13,FBXL20,693,527,446,529,760,556,407
ENSG00000108309.14,RUNDC3A,27,21,39,7,59,29,18
ENSG00000108312.16,UBTF,3309,3500,2355,3004,5504,2877,2864
ENSG00000108344.15,PSMD3,4154,3310,4551,4653,4558,3971,4055
ENSG00000108349.17,CASC3,2264,2954,1925,2676,4623,2206,2703
ENSG00000108352.13,RAPGEFL1,410,517,326,360,664,252,205
ENSG00000108370.17,RGS9,521,203,283,478,1005,257,501
ENSG00000108379.11,WNT3,146,153,157,107,280,138,150
ENSG00000108384.16,RAD51C,233,157,171,255,221,222,112
ENSG00000108387.16,SEPTIN4,21,344,22,16,203,18,38
ENSG00000108389.10,MTMR4,1076,1451,958,1097,1842,716,724
ENSG00000108395.14,TRIM37,1926,957,1248,1445,1247,1448,1522
ENSG00000108406.10,DHX40,1568,1389,855,1101,2184,1264,1101
ENSG00000108423.15,TUBD1,263,277,164,348,445,176,214
ENSG00000108424.11,KPNB1,12666,10307,12430,13914,10248,13654,12110
ENSG00000108433.17,GOSR2,2291,1262,1451,1536,2069,1953,1529
ENSG00000108439.11,PNPO,360,82,205,213,129,266,116
ENSG00000108465.15,CDK5RAP3,443,527,593,436,650,199,216
ENSG00000108468.15,CBX1,3251,4609,3022,3431,5855,2409,2505
ENSG00000108469.15,RECQL5,652,590,780,535,750,352,455
ENSG00000108474.17,PIGL,285,207,304,264,262,215,194
ENSG00000108479.13,GALK1,460,482,359,324,541,422,284
ENSG00000108506.14,INTS2,506,643,511,491,661,412,373
ENSG00000108509.21,CAMTA2,1313,659,1514,1133,857,1052,1043
ENSG00000108510.10,MED13,2594,2555,1325,2264,3241,2593,2237
ENSG00000108515.18,ENO3,672,187,418,477,133,167,214
ENSG00000108518.8,PFN1,29922,11096,30397,28218,13176,23081,24675
ENSG00000108523.16,RNF167,2406,1228,2705,1787,1847,1860,1834
ENSG00000108528.14,SLC25A11,1757,1267,1160,1261,1717,1068,1202
ENSG00000108557.20,RAI1,2190,2620,1512,1918,4012,2200,2885
ENSG00000108559.13,NUP88,1075,900,859,1226,1185,855,770
ENSG00000108561.8,C1QBP,2199,1226,2465,2350,1922,1618,1575
ENSG00000108578.15,BLMH,1920,2530,1228,1998,2998,1221,1157
ENSG00000108582.12,CPD,5830,5220,4782,4744,6150,6733,4200
ENSG00000108587.16,GOSR1,1612,1209,1047,1370,1702,1443,1270
ENSG00000108588.15,CCDC47,2809,1826,3184,2859,2630,2726,2336
ENSG00000108590.11,MED31,243,153,181,203,220,169,149
ENSG00000108591.10,DRG2,1053,821,975,855,1010,693,746
ENSG00000108592.17,FTSJ3,2135,1813,2889,2716,2490,2042,1959
ENSG00000108599.15,AKAP10,1093,642,759,816,898,840,662
ENSG00000108604.18,SMARCD2,929,1297,955,1140,1428,744,752
ENSG00000108639.8,SYNGR2,2600,356,2691,1436,958,2250,895
ENSG00000108641.20,B9D1,279,295,209,220,322,171,210
ENSG00000108651.10,UTP6,1472,1060,1264,1480,1203,1076,880
ENSG00000108654.16,DDX5,19024,17575,18771,18125,22483,13266,12782
ENSG00000108666.11,C17orf75,481,486,408,438,620,289,259
ENSG00000108669.18,CYTH1,1548,852,659,1361,3040,1034,801
ENSG00000108671.11,PSMD11,3126,2098,2663,3432,3470,2752,2791
ENSG00000108679.13,LGALS3BP,8067,4443,8581,5562,4447,3070,2461
ENSG00000108691.10,CCL2,572,283,203,439,2505,73,1381
ENSG00000108733.11,PEX12,170,132,151,127,203,131,104
ENSG00000108773.11,KAT2A,878,902,1479,860,1199,543,608
ENSG00000108774.15,RAB5C,1982,1110,1974,1623,1665,1770,2191
ENSG00000108784.10,NAGLU,1571,787,1188,816,800,1108,840
ENSG00000108786.11,HSD17B1,112,15,33,41,21,38,24
ENSG00000108788.12,MLX,1238,711,1046,995,860,742,672
ENSG00000108797.12,CNTNAP1,695,2519,1501,1408,513,611,460
ENSG00000108798.9,ABI3,20,90,48,81,78,27,101
ENSG00000108799.13,EZH1,712,656,506,582,693,369,401
ENSG00000108819.11,PPP1R9B,3335,3299,2534,3007,5720,3275,3214
ENSG00000108821.14,COL1A1,1148145,793232,516987,680170,615483,1166653,824405
ENSG00000108828.16,VAT1,15830,7435,10289,13188,10117,8635,10464
ENSG00000108829.10,LRRC59,6847,3625,5757,6776,4244,6362,5434
ENSG00000108830.11,RND2,204,264,189,184,492,91,120
ENSG00000108840.16,HDAC5,1555,2006,700,1777,3456,1394,1658
ENSG00000108848.16,LUC7L3,2639,3064,2661,2910,4209,1688,1634
ENSG00000108852.16,MPP2,349,432,299,333,501,288,268
ENSG00000108854.16,SMURF2,1864,1371,3187,2285,2908,3015,2269
