ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000270820.8,USP34-DT,1.6446,0.9442,0.9764,1.2051,1.3020,1.1515,0.7252
ENSG00000270885.2,RASL10B,25.1199,36.6178,17.3310,16.4954,51.6475,22.9958,46.4958
ENSG00000270959.2,LPP-AS2,1.6123,3.0378,0.8137,1.1298,4.5071,1.9541,1.9340
ENSG00000271009.3,ENSG00000271009,0.0645,1.3547,0.2034,0.1883,1.3688,0.1047,0.2015
ENSG00000271122.1,HERPUD2-AS1,10.1898,9.4829,6.2245,7.5321,9.3480,8.3748,7.5344
ENSG00000271133.7,ITGB8-AS1,0.7417,1.1494,0.6102,0.3389,1.2687,0.9073,0.4432
ENSG00000271147.8,ARMCX5-GPRASP2,3.7406,5.0493,3.7835,3.2388,7.9792,4.2572,3.2636
ENSG00000271155.1,ENSG00000271155,0.8706,1.0673,0.2034,0.3389,2.0365,0.4536,0.9267
ENSG00000271254.7,ENSG00000271254,8.2228,20.3615,7.6891,9.3022,20.2650,7.9561,9.1863
ENSG00000271270.8,TMCC1-DT,3.2246,2.8325,4.2310,3.6907,3.1716,1.7796,1.7728
ENSG00000271303.2,SRXN1,0.6772,0.4516,0.9764,0.9039,1.2353,2.4426,1.8534
ENSG00000271335.6,CCNY-AS1,0.9351,0.5747,1.2205,0.5272,0.6343,0.4187,1.2087
ENSG00000271380.1,ENSG00000271380,0.4192,1.0673,0.6916,0.3766,1.2353,0.2792,0.6447
ENSG00000271425.9,NBPF10,4.0953,8.4566,4.1090,3.1258,4.4403,3.7338,4.5529
ENSG00000271474.1,UNC5C-AS1,0.7739,2.1347,0.1220,0.5272,2.8378,0.2443,0.5238
ENSG00000271503.7,CCL5,0.0000,0.1232,0.1220,1.1675,1.5691,0.9422,0.7655
ENSG00000271533.1,ENSG00000271533,2.1927,2.5041,2.3596,2.5233,3.0381,1.9192,1.7325
ENSG00000271576.2,PRKACB-DT,0.9674,1.3957,1.0578,1.1298,1.0350,0.7677,0.7252
ENSG00000271601.4,LIX1L,40.3079,61.0024,43.4902,51.1432,56.5885,38.5241,46.7375
ENSG00000271614.1,ATP2B1-AS1,0.8062,2.2578,0.0407,0.2260,1.5357,0.5234,0.6447
ENSG00000271643.2,PDCD6IP-DT,13.7047,6.3630,16.1919,11.4865,8.7470,16.8194,21.9586
ENSG00000271709.1,ENSG00000271709,1.0641,0.0000,0.4068,1.3934,0.0000,1.2213,0.5238
ENSG00000271851.1,ENSG00000271851,1.8703,2.0936,2.0748,2.3350,2.4705,1.5354,1.5713
ENSG00000271857.1,ENSG00000271857,0.9351,1.8063,0.4882,1.1298,1.4690,0.2094,1.2490
ENSG00000271936.1,ENSG00000271936,0.9996,2.6273,1.4646,1.5441,1.1351,0.5583,0.8058
ENSG00000271976.1,ENSG00000271976,3.1601,4.1872,7.0789,4.4816,6.6103,3.9082,5.3990
ENSG00000271978.2,ENSG00000271978,0.4837,1.6010,0.2441,0.6026,1.5024,0.3141,1.4505
ENSG00000272031.3,ANKRD34A,8.0616,1.4368,10.5776,7.1932,3.2718,10.6430,6.3660
ENSG00000272047.4,GTF2H5,21.3793,20.4846,23.4741,21.0147,21.8342,17.2032,19.3397
ENSG00000272077.1,ENSG00000272077,2.0315,1.9705,2.9292,3.2012,2.1367,1.5354,2.6189
ENSG00000272081.1,FCHO2-DT,0.3225,1.1905,0.3255,0.5649,0.9682,1.1166,0.9670
ENSG00000272086.2,GOLPH3-DT,4.8692,1.7652,2.2376,3.1258,4.1398,3.2103,4.3917
ENSG00000272106.1,ENSG00000272106,2.9344,3.9409,1.7494,2.6739,4.0063,2.4078,2.5786
ENSG00000272108.1,ENSG00000272108,1.0641,1.2315,1.3425,0.5272,1.1017,1.0120,0.9670
ENSG00000272142.4,LYRM4-AS1,7.1909,5.3367,3.0919,3.4271,7.4116,6.5254,6.7689
ENSG00000272163.2,ENSG00000272163,0.5482,2.0936,0.7323,0.3389,3.4053,1.0817,0.8864
ENSG00000272168.10,CASC15,10.8670,7.4714,14.9307,13.2942,23.3699,13.6439,21.1930
ENSG00000272221.1,ENSG00000272221,0.4514,1.6421,1.9121,1.0545,1.1017,1.0120,0.9670
ENSG00000272269.2,NUP153-AS1,1.0319,0.4926,2.2783,1.4311,1.5024,1.1515,2.3369
ENSG00000272316.1,ENSG00000272316,0.8062,1.4779,0.5696,0.7156,1.5357,0.9771,0.8864
ENSG00000272325.2,NUDT3,43.8550,67.5296,51.0980,41.2008,55.7539,41.8391,42.3861
ENSG00000272333.8,KMT2B,44.4676,79.4755,60.2517,53.7795,84.7326,49.7254,72.0805
ENSG00000272335.1,ENSG00000272335,2.6442,2.9557,5.8584,2.8999,2.5373,2.4775,2.6592
ENSG00000272341.1,ENSG00000272341,3.3536,1.6421,3.0105,3.7661,3.1382,3.2103,3.9485
ENSG00000272356.1,ENSG00000272356,1.0319,0.4516,2.4003,0.7532,0.5342,0.5583,0.4029
ENSG00000272391.6,POM121C,43.1778,50.9858,45.4837,50.7666,53.6840,47.9108,60.4767
ENSG00000272398.6,CD24,61.9129,49.1796,112.5701,67.1114,208.0923,88.9473,141.5421
ENSG00000272405.1,ENSG00000272405,0.5804,0.3284,1.5866,1.2051,0.4006,0.7677,2.4577
ENSG00000272434.1,ENSG00000272434,0.9029,0.2053,1.1391,0.4896,0.6343,1.1166,0.4029
ENSG00000272438.1,ENSG00000272438,0.1612,1.1084,0.0814,0.0377,1.2687,0.0000,0.0403
ENSG00000272447.1,ENSG00000272447,1.4833,2.2168,1.4646,1.9207,5.9426,2.2682,2.9009
ENSG00000272462.4,LINC02980,1.0964,1.8063,1.1798,0.8662,1.3020,0.9073,0.8864
ENSG00000272476.1,ENSG00000272476,2.3217,2.1757,1.3425,2.0713,6.2431,2.8963,3.4247
ENSG00000272512.1,ENSG00000272512,0.5482,0.6158,0.7323,2.0337,1.0350,0.8026,2.2160
