ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000250472.1,TRIM36-IT1,0,0,0,0,0,0,0
ENSG00000250473.1,DUTP7,0,0,0,0,0,0,0
ENSG00000250474.2,WBP1LP2,5,8,9,7,15,5,4
ENSG00000250475.1,RPL6P11,0,0,0,0,0,0,0
ENSG00000250476.1,ENPP7P9,0,0,0,0,0,0,0
ENSG00000250479.9,CHCHD10,392,240,408,317,355,400,651
ENSG00000250480.3,C12orf29P1,0,0,0,0,0,0,0
ENSG00000250481.2,ENSG00000250481,0,0,0,0,0,0,0
ENSG00000250482.3,DUX4L51,0,0,0,0,0,0,0
ENSG00000250483.1,PPM1AP1,0,0,0,0,0,0,0
ENSG00000250484.2,PPIAP76,0,0,0,0,0,0,0
ENSG00000250485.1,EXOC7P1,0,0,0,0,0,0,0
ENSG00000250486.5,FAM218A,4,16,10,17,21,6,13
ENSG00000250488.2,LINC02233,0,0,0,0,1,0,0
ENSG00000250490.1,LINC02145,0,0,0,0,0,0,0
ENSG00000250492.1,INTS6P1,1,1,1,0,0,1,2
ENSG00000250493.2,ENSG00000250493,0,0,0,0,0,0,0
ENSG00000250494.1,ENSG00000250494,0,0,0,0,0,0,0
ENSG00000250496.2,ABT1P1,0,0,0,0,0,0,0
ENSG00000250497.1,ENSG00000250497,0,0,0,0,0,0,2
ENSG00000250500.1,ENSG00000250500,0,0,0,0,0,0,0
ENSG00000250501.3,ENSG00000250501,0,0,0,0,0,0,0
ENSG00000250503.1,ENSG00000250503,0,0,0,0,0,0,0
ENSG00000250504.2,KRT18P51,0,0,0,0,0,0,1
ENSG00000250505.1,ENSG00000250505,0,0,0,0,0,0,0
ENSG00000250506.9,CDK3,19,15,28,19,36,6,12
ENSG00000250507.1,ENSG00000250507,0,0,0,0,0,0,0
ENSG00000250508.1,LINC02701,25,10,3,23,74,9,10
ENSG00000250509.2,ENSG00000250509,0,0,0,0,0,0,0
ENSG00000250510.8,GPR162,187,469,152,116,505,116,136
ENSG00000250511.1,ENSG00000250511,0,0,0,0,1,0,0
ENSG00000250514.1,LINC02125,0,0,0,0,0,0,0
ENSG00000250515.1,ENSG00000250515,0,0,0,0,0,0,0
ENSG00000250516.1,ENSG00000250516,0,0,0,0,0,0,0
ENSG00000250517.2,LDHAL6CP,0,1,0,0,0,0,0
ENSG00000250519.7,ENSG00000250519,32,52,75,31,44,40,35
ENSG00000250522.1,ENSG00000250522,0,0,0,0,4,0,0
ENSG00000250523.1,ENSG00000250523,0,0,0,2,0,0,0
ENSG00000250524.1,ENSG00000250524,0,0,0,0,0,0,0
ENSG00000250526.1,CCT6P2,1,0,1,0,2,0,1
ENSG00000250529.1,LINC02121,0,0,0,0,1,0,0
ENSG00000250532.1,ENSG00000250532,0,0,0,0,0,0,0
ENSG00000250535.1,STK19B,0,0,3,0,0,0,1
ENSG00000250536.1,ABHD17AP3,0,0,3,0,3,3,2
ENSG00000250538.6,NPY2R-AS1,0,0,0,0,0,0,0
ENSG00000250539.1,KRT8P33,17,26,86,17,15,72,80
ENSG00000250540.1,ENSG00000250540,0,0,0,0,0,0,0
ENSG00000250541.1,ENSG00000250541,0,0,0,0,0,0,0
ENSG00000250543.1,ENSG00000250543,0,0,0,1,0,0,0
ENSG00000250544.2,LINC02059,0,0,0,0,0,0,0
ENSG00000250546.6,LINC02994,2,0,0,0,3,0,0
ENSG00000250547.1,ENSG00000250547,0,0,0,0,0,0,0
ENSG00000250548.7,LINC01303,14,1,2,6,2,6,3
ENSG00000250550.3,PPBPP1,0,0,0,0,0,0,0
ENSG00000250551.1,MIR583HG,0,2,0,3,0,0,3
ENSG00000250555.2,ENSG00000250555,0,0,0,0,0,0,0
ENSG00000250556.1,CCDC34P1,0,0,0,0,0,0,0
ENSG00000250560.2,ENSG00000250560,0,0,0,0,0,0,0
ENSG00000250561.2,OR7E59P,0,0,0,0,0,0,0
ENSG00000250562.1,RPL38P4,0,0,1,0,0,0,0
ENSG00000250563.1,KNOP1P5,1,0,0,0,0,0,0
ENSG00000250564.2,LINC02999,0,0,0,0,0,0,0
ENSG00000250565.7,ATP6V1E2,81,94,45,54,170,72,72
ENSG00000250566.1,UGT2B29P,0,0,0,0,0,0,0
ENSG00000250567.1,ENSG00000250567,0,0,0,0,0,0,0
ENSG00000250568.1,ENSG00000250568,0,1,0,0,0,2,3
ENSG00000250569.1,NTAN1P2,4,2,6,7,3,1,3
ENSG00000250571.7,GLI4,342,178,271,256,429,176,287
ENSG00000250572.1,ENSG00000250572,0,0,0,0,0,0,0
ENSG00000250573.1,ENSG00000250573,0,0,0,0,0,0,0
ENSG00000250574.1,ENSG00000250574,0,0,0,0,0,0,0
ENSG00000250575.1,ENSG00000250575,0,0,0,0,0,0,0
ENSG00000250576.1,ENSG00000250576,0,0,0,0,1,0,0
ENSG00000250577.1,ENSG00000250577,0,0,0,0,0,0,0
ENSG00000250579.3,ADAMTS16-DT,229,16,55,95,544,36,109
ENSG00000250580.1,SNRPCP8,0,0,0,0,0,0,0
ENSG00000250582.1,SMAD1-AS2,0,0,0,0,0,0,0
ENSG00000250583.1,ENSG00000250583,0,0,1,0,0,0,0
ENSG00000250584.4,LINC01511,0,0,0,0,0,0,0
ENSG00000250585.3,LINC00604,0,0,0,0,0,0,0
ENSG00000250587.2,HPRT1P2,0,0,0,0,0,0,0
ENSG00000250590.6,LINC02492,0,0,0,1,0,1,1
ENSG00000250591.3,PRSS3P1,0,0,0,0,0,0,0
ENSG00000250592.1,ENSG00000250592,0,0,0,0,0,0,0
ENSG00000250594.2,RNF14P2,0,0,0,0,0,0,0
ENSG00000250596.2,ENSG00000250596,0,0,0,0,0,0,0
ENSG00000250597.5,ENSG00000250597,0,1,0,0,0,0,0
ENSG00000250600.2,ROPN1L-AS1,1,0,0,1,1,0,0
ENSG00000250602.6,ENSG00000250602,2,2,1,1,3,0,0
ENSG00000250603.1,ENSG00000250603,0,0,0,0,0,0,0
ENSG00000250604.2,ENSG00000250604,0,0,0,0,0,0,0
ENSG00000250608.2,NUDT16-DT,11,19,7,12,18,5,5
ENSG00000250609.1,ENSG00000250609,0,0,0,0,0,0,0
ENSG00000250611.1,ENSG00000250611,0,0,0,0,0,0,0
ENSG00000250612.2,ENSG00000250612,0,0,0,0,0,0,0
ENSG00000250613.1,ENSG00000250613,0,0,0,0,0,0,0
ENSG00000250614.1,ENSG00000250614,0,0,0,0,0,0,0
ENSG00000250615.1,ENSG00000250615,0,4,1,0,2,0,0
ENSG00000250616.4,YPEL3-DT,24,34,3,13,46,8,10
ENSG00000250618.1,ENSG00000250618,0,0,0,0,0,0,0
ENSG00000250619.1,ENSG00000250619,0,0,0,1,0,0,0
ENSG00000250620.2,LINC02515,0,0,0,0,0,0,0
ENSG00000250622.1,ENSG00000250622,0,0,0,0,0,0,0
ENSG00000250623.1,ENSG00000250623,0,0,0,0,0,0,0
ENSG00000250624.1,MTCYBP43,0,0,0,0,0,0,0
ENSG00000250625.1,ENSG00000250625,0,0,0,0,0,0,0
ENSG00000250626.3,ENSG00000250626,0,0,0,0,0,0,0
