gene_id,gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,contrast
ENSG00000270647.7,TAF15,0.2926245420992,7.03687969420354,0.688210846008665,0.532772248410846,0.763342871505186,-6.47654207652313,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270659.2,ENSG00000270659,2.33617536844979,-0.679495955281385,1.83353474837787,0.147936862639753,0.474365409275423,-4.33487752606836,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270673.2,YTHDF3-DT,-0.448737309237738,-0.766412553836968,-0.59590275751719,0.586401275447835,0.797001176966137,-5.56555831878147,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270681.1,ENSG00000270681,0.617318645238942,-1.25480789874784,0.690993377988812,0.531212583223404,0.762328858147498,-5.36231834868279,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270761.2,CD2AP-DT,-0.623551986363803,-2.26331959611689,-0.646445009107426,0.556586216674592,0.778877719121416,-5.30105734039958,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270804.1,UBE2CP5,0.15928154230432,1.45848674436794,0.316848735245279,0.768737650907512,0.896875642994645,-5.99336677487523,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270820.8,USP34-DT,-0.327955926510648,0.110930547681798,-0.541939496812521,0.619404885670769,0.816230506100846,-5.71642633667944,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270872.2,SRGAP2D,0.983032101937202,-0.696288804890711,1.23011711050931,0.292388242198212,0.604056166721298,-4.97787094673731,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270878.1,GCATP1,-0.799558932837697,-2.02878393037696,-0.916974570489678,0.415954123229181,0.691302268677775,-5.15259562998793,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270885.2,RASL10B,0.63825068231863,5.05699791833417,2.14231826679593,0.105851796735561,0.421620692124943,-4.85211769633587,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270933.2,ENSG00000270933,0.619178091220738,-1.41602166984046,0.740578200555648,0.503988106985386,0.745669272416689,-5.30164485910192,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270953.1,ENSG00000270953,0.673521248546178,-0.583326653160066,0.510980702870763,0.638865779183397,0.827288490671963,-5.56823061011035,vsmc_C224Y_cluster_CAD_vs_ISO
